SqFt,Bedrooms,Bathrooms,Neighborhood,Price
1790,2,2,East,114300
2030,4,2,East,114200
1740,3,2,East,114800
1980,3,2,East,94700
2130,3,3,East,119800
1780,3,2,North,114600
1830,3,3,West,151600
2160,4,2,West,150700
2110,4,2,East,119200
1730,3,3,East,104000
2030,3,2,East,132500
1870,2,2,East,123000
1910,3,2,North,102600
2150,3,3,North,126300
2590,4,3,West,176800
1780,4,2,West,145800
2190,3,3,East,147100
1990,3,3,North,83600
1700,2,2,East,111400
1920,3,3,West,167200
1790,3,2,East,116200
2000,3,2,North,113800
1690,3,2,North,91700
1820,3,2,North,106100
2210,4,3,East,156400
2290,4,3,North,149300
2000,4,2,West,137000
1700,3,2,East,99300
1600,2,2,North,69100
2040,4,3,West,188000
2250,4,3,West,182000
1930,2,2,North,112300
2250,3,3,East,135000
2280,5,3,East,139600
2000,2,2,North,117800
2080,3,3,North,117100
1880,2,2,North,117500
2420,4,3,West,147000
1720,3,2,West,131300
1740,3,2,North,108200
1560,2,2,East,106600
1840,4,3,West,133600
1990,2,2,East,105600
1920,3,2,East,154000
1940,3,3,West,166500
1810,3,2,East,103200
1990,2,3,North,129800
2050,3,2,North,90300
1980,2,2,East,115900
1700,3,2,North,107500
2100,3,2,East,151100
1860,2,2,North,91100
2150,2,3,North,117400
2100,3,2,North,130800
1650,3,2,North,81300
1720,2,2,East,125700
2190,3,2,East,140900
2240,4,3,West,152300
1840,3,3,West,138100
2090,4,2,West,155400
2200,3,3,West,180900
1610,2,2,North,100900
2220,4,3,West,161300
1910,2,3,East,120500
1860,3,2,West,130300
1450,2,2,North,111100
2210,3,3,North,126200
2040,4,3,East,151900
2140,3,2,North,93600
2080,4,3,West,165600
1950,3,3,West,166700
2160,4,2,West,157600
1650,3,2,North,107300
2040,3,3,East,125700
2140,3,3,West,144200
1900,2,2,North,106900
1930,3,2,West,129800
2280,4,3,West,176500
2130,3,2,North,121300
1780,4,2,West,143600
2190,3,3,East,143400
2140,4,3,West,184300
2050,2,2,West,164800
2410,3,3,East,147700
1520,2,2,North,90500
2250,4,3,West,188300
1900,4,2,North,102700
1880,3,3,West,172500
1930,3,3,North,127700
2010,2,2,North,97800
1920,4,2,West,143100
2150,3,2,East,116500
2110,3,2,West,142600
2080,3,3,East,157100
2150,4,3,West,160600
1970,2,2,West,152500
2440,3,3,East,133300
2000,2,2,East,126800
2060,3,2,West,145500
2080,3,3,West,171000
2010,3,2,North,103200
2260,3,3,East,123100
2410,3,3,East,136800
2440,4,3,West,211200
1910,3,2,East,82300
2530,4,3,West,146900
2130,3,2,North,108500
1890,3,2,East,134000
1990,3,3,East,117000
2110,3,2,East,108700
1710,2,2,North,111600
1740,2,2,North,114900
1940,2,2,East,123600
2000,3,2,North,115700
2010,4,3,East,124500
1900,3,3,North,102500
2290,5,4,West,199500
1920,3,2,North,117800
1950,3,2,North,150200
1920,2,2,North,109700
1930,2,3,North,110400
1930,3,3,East,105600
2060,2,2,East,144800
1900,3,3,East,119700
2160,4,3,East,147900
2070,2,2,North,113500
2020,3,3,West,149900
2250,3,3,North,124600
